6.168895732512098551e-01,3.238099428068631491e-01,5.050153981522217256e-02,8.798944126704795476e-03
5.797872340425531679e-01,3.343465045592705076e-01,6.990881458966564932e-02,1.595744680851063704e-02
5.760429447852760676e-01,3.645245398773006018e-01,4.907975460122699501e-02,1.035276073619631823e-02
5.808917197452229120e-01,3.585987261146496574e-01,5.286624203821656265e-02,7.643312101910828930e-03
5.947146866230120787e-01,3.512628624883067929e-01,4.934518241347052997e-02,4.677268475210476922e-03
6.003328509406656854e-01,3.403328509406657321e-01,5.426917510853835475e-02,5.065123010130245969e-03
6.611170784103115317e-01,2.878625134264232166e-01,4.457572502685284294e-02,6.444683136412459983e-03
5.990419161676646675e-01,3.433233532934131804e-01,5.389221556886227699e-02,3.742514970059880250e-03
6.281094527363183522e-01,3.215174129353233767e-01,4.228855721393034311e-02,8.084577114427860325e-03
6.183542039355992559e-01,3.190339892665474131e-01,5.635062611806797989e-02,6.261180679785331195e-03
6.440092165898617660e-01,3.122119815668202847e-01,3.840245775729646954e-02,5.376344086021504938e-03
6.043396226415094219e-01,3.373413379073756380e-01,5.145797598627787489e-02,6.861063464837049639e-03
5.986943164362519276e-01,3.429339477726574548e-01,5.069124423963133202e-02,7.680491551459293388e-03
5.992578849721706957e-01,3.339517625231910869e-01,6.307977736549165437e-02,3.710575139146567343e-03
5.510018214936247549e-01,3.852459016393442459e-01,5.919854280510018080e-02,4.553734061930782805e-03
5.343137254901960675e-01,3.960784313725490557e-01,6.764705882352940736e-02,1.960784313725490169e-03
5.628867924528302424e-01,3.564528301886792372e-01,7.594339622641509135e-02,4.716981132075471518e-03
5.751503006012024244e-01,3.627254509018035811e-01,6.012024048096192147e-02,2.004008016032064396e-03
5.468190476190476490e-01,3.927047619047618898e-01,5.285714285714285254e-02,7.619047619047619041e-03
5.019230769230769162e-01,4.120192307692308042e-01,8.221153846153846090e-02,3.846153846153846367e-03
4.756637168141593097e-01,4.482300884955752185e-01,7.256637168141592820e-02,3.539823008849557473e-03
4.647177419354838190e-01,4.425403225806451846e-01,8.165322580645162365e-02,1.108870967741935540e-02
4.571865443425076614e-01,4.418960244648317826e-01,9.174311926605505096e-02,9.174311926605505096e-03
3.448275862068965747e-01,5.603448275862068506e-01,9.482758620689654694e-02,0.000000000000000000e+00
